district,city,latitude,longitude,updated_time,price,land_area_sqm,building_area_sqm,jumlah lantai,kamar tidur,kamar mandi,carpots,garasi,sertifikat,daya listrik,interior,tahun dibangun
Kelapa Gading,Jakarta Utara,-6.161308699999999,106.9049822,17/03/2024,6800000000.0,280.0,250.0,2.0,4.0,3.0,,,HGB,3500.0,Unfurnished,2020.0
Kelapa Gading,Jakarta Utara,-6.161308699999999,106.9049822,17/03/2024,16300000000.0,300.0,900.0,4.0,4.0,5.0,,,HGB,11500.0,Semi Furnished,2018.0
Kelapa Gading,Jakarta Utara,-6.161308699999999,106.9049822,17/03/2024,6500000000.0,220.0,225.0,2.0,5.0,4.0,,,SHM,2300.0,Semi Furnished,2021.0
Cakung,Jakarta Timur,-6.187507500000001,106.9593843,17/03/2024,5000000000.0,300.0,325.0,2.0,4.0,4.0,,,HGB,2200.0,Unfurnished,2018.0
Kelapa Gading,Jakarta Utara,-6.161308699999999,106.9049822,17/03/2024,6200000000.0,242.0,350.0,2.0,3.0,3.0,,,SHM,5500.0,Unfurnished,2023.0
Pesanggrahan,Jakarta Selatan,-6.2365273,106.751266,17/03/2024,5500000000.0,212.0,195.0,2.0,4.0,3.0,,,SHM,2200.0,Unfurnished,2020.0
Cilandak,Jakarta Selatan,-6.277122299999999,106.7975781,17/03/2024,18000000000.0,900.0,600.0,2.0,5.0,3.0,,,SHM,6600.0,Unfurnished,2020.0
Bukit Golf Riverside,Ciracas,-6.4222323,106.9051455,17/03/2024,4500000.0,395.0,120.0,1.0,4.0,2.0,1.0,,HGB,2200.0,Unfurnished,
Mampang Prapatan,Jakarta Selatan,-6.2481661,106.8262565,17/03/2024,16000000000.0,587.0,350.0,1.0,4.0,3.0,,,SHM,10000.0,Semi Furnished,2020.0
Ciracas,Jakarta Timur,-6.308751699999999,106.8749344,17/03/2024,3200000000.0,220.0,220.0,2.0,3.0,3.0,,,SHM,3500.0,Semi Furnished,2019.0
Tebet,Jakarta Selatan,-6.2251223,106.8549881,17/03/2024,7500000000.0,315.0,200.0,1.0,4.0,3.0,1.0,3.0,SHM,2200.0,Unfurnished,
Kelapa Gading,Jakarta Utara,-6.161308699999999,106.9049822,17/03/2024,4500000000.0,153.0,180.0,2.0,4.0,3.0,,,SHM,3500.0,Semi Furnished,2022.0
Kavling Dki,Jagakarsa,-6.3553053,106.8086489,17/03/2024,1900000000.0,144.0,120.0,,3.0,3.0,1.0,1.0,SHM,1300.0,Unfurnished,
Cempaka Putih,Jakarta Pusat,-6.1868333,106.8665002,17/03/2024,9500000000.0,360.0,350.0,2.0,4.0,3.0,,,SHM,7700.0,Semi Furnished,2019.0
Kelapa Gading,Jakarta Utara,-6.161308699999999,106.9049822,17/03/2024,2650000000.0,119.0,298.0,2.0,4.0,3.0,,,SHM,3300.0,Semi Furnished,2019.0
Kelapa Gading,Jakarta Utara,-6.161308699999999,106.9049822,17/03/2024,1900000000.0,75.0,150.0,2.0,3.0,2.0,,,SHM,2200.0,Unfurnished,2019.0
Kelapa Gading,Jakarta Utara,-6.161308699999999,106.9049822,17/03/2024,2700000000.0,90.0,135.0,1.0,3.0,2.0,,,SHM,2200.0,Unfurnished,2022.0
Kelapa Gading,Jakarta Utara,-6.161308699999999,106.9049822,17/03/2024,4000000000.0,180.0,300.0,2.0,3.0,3.0,,,SHM,2200.0,Unfurnished,2022.0
Palmerah,Jakarta Barat,-6.1942907,106.793333,17/03/2024,5900000000.0,122.0,400.0,3.0,10.0,10.0,,,SHM,3500.0,Full Furnished,2021.0
Penjaringan,Jakarta Utara,-6.116455699999999,106.7557702,17/03/2024,25000000000.0,525.0,1345.0,2.0,2.0,3.0,,,SHM,53000.0,Unfurnished,2021.0
Grogol Petamburan,Jakarta Barat,-6.161697999999999,106.7846412,17/03/2024,4500000000.0,112.0,238.0,3.0,5.0,5.0,,,SHM,4400.0,Semi Furnished,2020.0
Cakung,Jakarta Timur,-6.187507500000001,106.9593843,17/03/2024,3100000000.0,148.0,156.0,2.0,4.0,5.0,,,SHM,,,
Pulo Gadung,Jakarta Timur,-6.1936067,106.8912095,17/03/2024,9200000000.0,471.0,471.0,1.0,4.0,2.0,,,SHM,4400.0,Unfurnished,2021.0
Duren Sawit,Jakarta Timur,-6.2321915,106.9152021,17/03/2024,6500000000.0,252.0,350.0,2.0,6.0,6.0,4.0,2.0,SHM,2200.0,Unfurnished,
Kelapa Gading,Jakarta Utara,-6.161308699999999,106.9049822,17/03/2024,2100000000.0,96.0,60.0,1.0,3.0,2.0,,,SHM,1300.0,Unfurnished,2021.0
Cakung,Jakarta Timur,-6.187507500000001,106.9593843,17/03/2024,1450000000.0,1200.0,100.0,2.0,3.0,2.0,2.0,,SHM,2200.0,Unfurnished,
Matraman,Jakarta Timur,-6.2018754,106.8688565,17/03/2024,630000000.0,35.0,70.0,2.0,1.0,2.0,,,SHM,2200.0,Unfurnished,
Setia Budi,Jakarta Selatan,-6.2136327,106.8264328,17/03/2024,75300000000.0,1019.0,600.0,1.0,6.0,4.0,,,SHM,23000.0,Unfurnished,2019.0
Kebon Jeruk,Jakarta Barat,-6.184046800000001,106.7680752,17/03/2024,3700000000.0,160.0,260.0,2.0,3.0,3.0,,,SHM,2200.0,Unfurnished,2021.0
Kelapa Gading,Jakarta Utara,-6.161308699999999,106.9049822,17/03/2024,4500000000.0,238.0,160.0,1.0,3.0,2.0,,,SHM,2200.0,Unfurnished,2021.0
Kelapa Gading,Jakarta Utara,-6.161308699999999,106.9049822,17/03/2024,3500000000.0,111.0,111.0,1.0,3.0,2.0,,,SHM,2200.0,Unfurnished,2018.0
Kelapa Gading,Jakarta Utara,-6.161308699999999,106.9049822,17/03/2024,3500000000.0,90.0,152.0,2.0,5.0,3.0,,,HGB,2200.0,Unfurnished,2021.0
Kelapa Gading,Jakarta Utara,-6.161308699999999,106.9049822,17/03/2024,2600000000.0,90.0,270.0,2.0,3.0,2.0,,,SHM,2200.0,Unfurnished,2021.0
Kelapa Gading,Jakarta Utara,-6.161308699999999,106.9049822,17/03/2024,3300000000.0,120.0,220.0,2.0,3.0,2.0,,,HGB,2200.0,Unfurnished,2023.0
pejaten,Pasar Minggu,-6.270482899999999,106.8384873,17/03/2024,1700000000.0,60.0,60.0,2.0,4.0,2.0,1.0,1.0,,,Unfurnished,
Kebayoran Baru,Jakarta Selatan,-6.2452337,106.7999471,17/03/2024,21000000000.0,409.0,409.0,,,,,,SHM,,,
Menteng,Jakarta Pusat,-6.1937297,106.8392111,17/03/2024,70000000000.0,720.0,500.0,2.0,5.0,3.0,1.0,2.0,SHM,16000.0,Unfurnished,
jagakarsa,Jagakarsa,-6.327337099999999,106.8207875,17/03/2024,2000000000.0,126.0,126.0,1.0,4.0,2.0,1.0,1.0,SHM,,Unfurnished,
Pulo Gadung,Jakarta Timur,-6.1936067,106.8912095,17/03/2024,12500000000.0,376.0,620.0,2.0,9.0,10.0,3.0,2.0,SHM,,Full Furnished,
Kramat Jati,Jakarta Timur,-6.263320299999999,106.8656951,17/03/2024,46000000000.0,4600.0,1500.0,2.0,11.0,6.0,11.0,,SHM,17000.0,Unfurnished,2000.0
Kebayoran Baru,Jakarta Selatan,-6.2452337,106.7999471,17/03/2024,18000000000.0,319.0,200.0,1.0,3.0,3.0,1.0,1.0,SHM,4400.0,Unfurnished,
Kebayoran Baru,Jakarta Selatan,-6.2452337,106.7999471,17/03/2024,39900000000.0,429.0,300.0,2.0,4.0,4.0,2.0,2.0,SHM,,Unfurnished,
Jagakarsa,Jakarta Selatan,-6.3360601,106.8256645,17/03/2024,14000000000.0,1703.0,330.0,1.0,5.0,4.0,,,SHM,5000.0,Unfurnished,2023.0
Senen,Jakarta Pusat,-6.195351899999999,106.8498184,17/03/2024,17500000000.0,595.0,400.0,1.0,10.0,3.0,,,HGB,3500.0,Unfurnished,2023.0
Palmerah,Jakarta Barat,-6.1942907,106.793333,17/03/2024,8900000000.0,226.0,378.0,3.0,10.0,10.0,,,SHM,5500.0,Full Furnished,2023.0
Kuningan,Setia Budi,-6.2212429,106.8256669,17/03/2024,27500000000.0,364.0,450.0,2.0,4.0,2.0,2.0,2.0,SHM,10500.0,Unfurnished,
Kelapa Gading,Jakarta Utara,-6.161308699999999,106.9049822,17/03/2024,15800000000.0,414.0,670.0,3.0,7.0,4.0,,,SHM,23100.0,Unfurnished,2023.0
Tanah Abang,Jakarta Pusat,-6.203972299999999,106.8051365,17/03/2024,12700000000.0,106.0,506.0,5.0,10.0,10.0,,,SHM,4400.0,Full Furnished,2023.0
Koja,Jakarta Utara,-6.115910299999999,106.9081259,17/03/2024,2200000000.0,334.0,250.0,2.0,6.0,3.0,,,SHM,2200.0,Unfurnished,2023.0
Kelapa Gading,Jakarta Utara,-6.161308699999999,106.9049822,17/03/2024,10000000000.0,212.0,280.0,2.0,4.0,3.0,,,SHM,3500.0,Unfurnished,2023.0
Grogol Petamburan,Jakarta Barat,-6.161697999999999,106.7846412,17/03/2024,3200000000.0,87.0,231.0,3.0,5.0,4.0,,,SHM,2200.0,Unfurnished,2023.0
Grogol Petamburan,Jakarta Barat,-6.161697999999999,106.7846412,17/03/2024,4800000000.0,240.0,150.0,1.0,3.0,2.0,,,SHM,7700.0,Unfurnished,2023.0
Cakung,Jakarta Timur,-6.187507500000001,106.9593843,17/03/2024,1800000000.0,90.0,135.0,2.0,2.0,2.0,,,SHM,2200.0,Unfurnished,2023.0
Kelapa Gading,Jakarta Utara,-6.161308699999999,106.9049822,17/03/2024,1800000000.0,90.0,135.0,1.0,4.0,2.0,,,SHM,2200.0,Unfurnished,2023.0
Kelapa Gading,Jakarta Utara,-6.161308699999999,106.9049822,17/03/2024,1650000000.0,90.0,115.0,2.0,2.0,2.0,,,SHM,2200.0,Unfurnished,2023.0
Kelapa Gading,Jakarta Utara,-6.161308699999999,106.9049822,17/03/2024,3500000000.0,57.0,81.0,2.0,2.0,1.0,,,PPJB,4400.0,Unfurnished,2023.0
Kelapa Gading,Jakarta Utara,-6.161308699999999,106.9049822,17/03/2024,4500000000.0,204.0,204.0,1.0,3.0,2.0,,,SHM,11000.0,Unfurnished,2023.0
Duren Sawit,Jakarta Timur,-6.2321915,106.9152021,17/03/2024,4000000000.0,144.0,200.0,2.0,4.0,5.0,,1.0,SHM,3500.0,Unfurnished,2018.0
Kebayoran Baru,Jakarta Selatan,-6.2452337,106.7999471,17/03/2024,3400000000.0,78.0,145.0,3.0,3.0,3.0,,,SHM,,Full Furnished,
Duren Sawit,Jakarta Timur,-6.2321915,106.9152021,17/03/2024,3300000000.0,154.0,254.0,2.0,5.0,2.0,1.0,,SHM,3500.0,Unfurnished,
Duren Sawit,Jakarta Timur,-6.2321915,106.9152021,17/03/2024,3300000000.0,154.0,254.0,2.0,5.0,3.0,1.0,,SHM,3500.0,Unfurnished,
Cakung,Jakarta Timur,-6.187507500000001,106.9593843,17/03/2024,2809957684.0,112.0,88.0,2.0,3.0,2.0,,,SHM,,Full Furnished,
Gambir,Jakarta Pusat,-6.1673595,106.8209277,17/03/2024,5500000000.0,162.0,317.0,4.0,3.0,4.0,2.0,,SHM,,Semi Furnished,
Grogol Petamburan,Jakarta Barat,-6.161697999999999,106.7846412,17/03/2024,7000000000.0,176.0,402.0,4.0,6.0,4.0,1.0,1.0,SHM,,Semi Furnished,
Cilandak,Jakarta Selatan,-6.277122299999999,106.7975781,17/03/2024,8300000000.0,212.0,425.0,2.0,10.0,10.0,,,SHM,5500.0,Full Furnished,2022.0
Grogol Petamburan,Jakarta Barat,-6.161697999999999,106.7846412,17/03/2024,6200000000.0,132.0,402.0,3.0,10.0,10.0,,,SHM,5500.0,Full Furnished,2022.0
Kebayoran Lama,Jakarta Selatan,-6.2365997,106.7805858,17/03/2024,4500000000.0,299.0,200.0,1.0,4.0,2.0,,,SHM,2200.0,Unfurnished,2022.0
Cakung,Jakarta Timur,-6.187507500000001,106.9593843,17/03/2024,1800000000.0,120.0,70.0,2.0,3.0,2.0,1.0,,SHM,2200.0,Unfurnished,
Grogol Petamburan,Jakarta Barat,-6.161697999999999,106.7846412,17/03/2024,5000000000.0,283.0,1.0,1.0,1.0,1.0,,,SHM,,Unfurnished,2022.0
Kelapa Gading,Jakarta Utara,-6.161308699999999,106.9049822,17/03/2024,6500000000.0,120.0,450.0,4.0,10.0,10.0,,,SHM,7700.0,Unfurnished,2022.0
Kemayoran,Jakarta Pusat,-6.1594869,106.8541776,17/03/2024,1800000000.0,120.0,70.0,2.0,3.0,2.0,1.0,,SHM,2200.0,Unfurnished,
Cilincing,Jakarta Utara,-6.1101657,106.9448985,17/03/2024,1500000000.0,200.0,225.0,1.0,9.0,4.0,,,SHM,2200.0,Unfurnished,2022.0
Grogol Petamburan,Jakarta Barat,-6.161697999999999,106.7846412,17/03/2024,5500000000.0,91.0,275.0,4.0,10.0,10.0,,,SHM,5500.0,Full Furnished,2022.0
Kelapa Gading,Jakarta Utara,-6.161308699999999,106.9049822,17/03/2024,2500000000.0,108.0,216.0,2.0,4.0,2.0,,,SHM,2200.0,Unfurnished,2022.0
Kalisari,Pasar Rebo,-6.3377275,106.8547133,17/03/2024,550000000.0,49.0,49.0,1.0,2.0,1.0,,,SHM,1300.0,Unfurnished,2003.0
Grogol Petamburan,Jakarta Barat,-6.161697999999999,106.7846412,17/03/2024,4500000000.0,240.0,450.0,2.0,4.0,3.0,,,SHM,2200.0,Unfurnished,2022.0
Sawah Besar,Jakarta Pusat,-6.1585052,106.8316619,17/03/2024,5000000000.0,257.0,257.0,2.0,3.0,2.0,,,SHM,2200.0,Unfurnished,2022.0
Cakung,Jakarta Timur,-6.187507500000001,106.9593843,17/03/2024,482000011.0,91.0,40.0,1.0,2.0,1.0,1.0,,SHM,1300.0,Unfurnished,2024.0
Pancoran,Jakarta Selatan,-6.2554837,106.8429756,17/03/2024,800000000.0,58.0,80.0,2.0,3.0,2.0,1.0,1.0,SHM,2200.0,Full Furnished,2023.0
Kebayoran Lama,Jakarta Selatan,-6.2365997,106.7805858,17/03/2024,7500000000.0,450.0,400.0,,7.0,3.0,8.0,,,,Unfurnished,
Jagakarsa,Jakarta Selatan,-6.3360601,106.8256645,17/03/2024,850000000.0,62.0,50.0,,2.0,1.0,1.0,,SHM,,Unfurnished,
Pulo Gadung,Jakarta Timur,-6.1936067,106.8912095,17/03/2024,5850000000.0,145.0,450.0,4.0,3.0,4.0,,4.0,SHM,5500.0,Unfurnished,2023.0
Kelapa Gading,Jakarta Utara,-6.161308699999999,106.9049822,17/03/2024,1500000000.0,120.0,120.0,1.0,3.0,2.0,,,SHM,2200.0,Unfurnished,2022.0
Kelapa Gading,Jakarta Utara,-6.161308699999999,106.9049822,17/03/2024,3300000000.0,108.0,123.0,3.0,2.0,2.0,,,SHM,2200.0,Semi Furnished,2022.0
Kelapa Gading,Jakarta Utara,-6.161308699999999,106.9049822,17/03/2024,4000000000.0,153.0,175.0,2.0,4.0,4.0,,,SHM,5500.0,Unfurnished,2020.0
Pesanggrahan,Jakarta Selatan,-6.2365273,106.751266,17/03/2024,2900000000.0,225.0,145.0,2.0,5.0,3.0,1.0,2.0,SHM,2200.0,Semi Furnished,
Kelapa Gading,Jakarta Utara,-6.161308699999999,106.9049822,17/03/2024,2150000000.0,135.0,180.0,2.0,4.0,4.0,,,SHM,3500.0,Unfurnished,2021.0
Ciracas,Jakarta Timur,-6.308751699999999,106.8749344,17/03/2024,1750000000.0,190.0,210.0,2.0,5.0,3.0,,,SHM,3300.0,Full Furnished,2021.0
Kelapa Gading,Jakarta Utara,-6.161308699999999,106.9049822,17/03/2024,2600000000.0,90.0,230.0,3.0,4.0,2.0,,,SHM,4400.0,Semi Furnished,2021.0
Cakung,Jakarta Timur,-6.187507500000001,106.9593843,17/03/2024,1900000000.0,96.0,93.0,2.0,2.0,2.0,1.0,,SHM,2200.0,Unfurnished,
Kelapa Gading,Jakarta Utara,-6.161308699999999,106.9049822,17/03/2024,2100000000.0,119.0,110.0,2.0,4.0,2.0,,,SHM,2200.0,Unfurnished,2018.0
Duren Sawit,Jakarta Timur,-6.2321915,106.9152021,17/03/2024,2200000000.0,45.0,70.0,2.0,2.0,2.0,,1.0,SHM,,Unfurnished,2024.0
Kebayoran Baru,Jakarta Selatan,-6.2452337,106.7999471,17/03/2024,18000000000.0,183.0,300.0,3.0,4.0,3.0,,,SHM,6600.0,Unfurnished,2021.0
Kelapa Gading,Jakarta Utara,-6.161308699999999,106.9049822,17/03/2024,2000000000.0,90.0,150.0,2.0,3.0,2.0,,,SHM,4400.0,Semi Furnished,2021.0
Kelapa Gading,Jakarta Utara,-6.161308699999999,106.9049822,17/03/2024,2500000000.0,70.0,140.0,2.0,3.0,2.0,,,SHM,4400.0,Unfurnished,2021.0
Kelapa Gading,Jakarta Utara,-6.161308699999999,106.9049822,17/03/2024,1650000000.0,60.0,90.0,2.0,3.0,2.0,,,SHM,2200.0,Unfurnished,2021.0
Taman Sari,Jakarta Barat,-6.1500077,106.816861,17/03/2024,8000000000.0,203.0,212.0,1.0,1.0,1.0,,,HGB,2200.0,Unfurnished,2021.0
Pondok Bambu,Duren Sawit,-6.2325788,106.9033981,17/03/2024,2200000000.0,45.0,70.0,2.0,2.0,2.0,,1.0,SHM,,Unfurnished,2023.0
Kelapa Gading,Jakarta Utara,-6.161308699999999,106.9049822,17/03/2024,5000000000.0,160.0,200.0,2.0,4.0,4.0,,,SHM,2200.0,Unfurnished,2017.0
Pulo Gadung,Jakarta Timur,-6.1936067,106.8912095,17/03/2024,11000000000.0,420.0,500.0,2.0,6.0,4.0,,,SHM,4400.0,Unfurnished,2018.0
Kelapa Gading,Jakarta Utara,-6.161308699999999,106.9049822,17/03/2024,2600000000.0,90.0,200.0,2.0,4.0,3.0,,,SHM,3500.0,Unfurnished,2017.0
Kelapa Gading,Jakarta Utara,-6.161308699999999,106.9049822,17/03/2024,1650000000.0,105.0,120.0,2.0,4.0,2.0,,,SHM,2200.0,Unfurnished,2019.0
Kali Deres,Jakarta Barat,-6.152444099999999,106.6969285,17/03/2024,3800000000.0,200.0,160.0,1.0,5.0,2.0,,,SHM,4400.0,Unfurnished,2016.0
Kali Deres,Jakarta Barat,-6.152444099999999,106.6969285,17/03/2024,1050000000.0,120.0,114.0,1.0,3.0,2.0,,,SHM,2200.0,Unfurnished,2023.0
Kelapa Gading,Jakarta Utara,-6.161308699999999,106.9049822,17/03/2024,1800000000.0,67.0,90.0,2.0,2.0,2.0,,,SHM,2200.0,Unfurnished,2023.0
Penjaringan,Jakarta Utara,-6.116455699999999,106.7557702,17/03/2024,6500000000.0,200.0,300.0,2.0,3.0,3.0,,,SHM,2200.0,Unfurnished,2023.0
Cengkareng,Jakarta Barat,-6.1390604,106.7305335,17/03/2024,3999000000.0,262.0,120.0,1.0,2.0,1.0,,,SHM,3500.0,Semi Furnished,2023.0
Kebon Jeruk,Jakarta Barat,-6.184046800000001,106.7680752,17/03/2024,2700000000.0,73.0,109.0,2.0,3.0,2.0,,,SHM,3500.0,Unfurnished,2023.0
Penjaringan,Jakarta Utara,-6.116455699999999,106.7557702,17/03/2024,4500000000.0,120.0,250.0,3.0,4.0,4.0,,,SHM,5500.0,Semi Furnished,2023.0
Cakung,Jakarta Timur,-6.187507500000001,106.9593843,17/03/2024,3200000000.0,314.0,348.0,2.0,5.0,4.0,,,SHM,3500.0,Unfurnished,2023.0
Duren Sawit,Jakarta Timur,-6.2321915,106.9152021,17/03/2024,2200000000.0,45.0,70.0,2.0,2.0,2.0,1.0,,SHM,,Unfurnished,2024.0
Kembangan,Jakarta Barat,-6.1987086,106.741926,17/03/2024,2650000000.0,142.0,250.0,2.0,4.0,3.0,,,SHM,5500.0,Unfurnished,2023.0
Kelapa Gading,Jakarta Utara,-6.161308699999999,106.9049822,17/03/2024,2800000000.0,128.0,200.0,2.0,3.0,2.0,,,SHM,2200.0,Unfurnished,2023.0
Kelapa Gading,Jakarta Utara,-6.161308699999999,106.9049822,17/03/2024,3000000000.0,136.0,100.0,1.0,2.0,2.0,,,SHM,4400.0,Unfurnished,2023.0
Kali Deres,Jakarta Barat,-6.152444099999999,106.6969285,17/03/2024,8000000000.0,190.0,270.0,2.0,5.0,4.0,,,SHM,5500.0,Unfurnished,2023.0
Kembangan,Jakarta Barat,-6.1987086,106.741926,17/03/2024,4800000000.0,288.0,220.0,1.0,4.0,4.0,,,SHM,5500.0,Unfurnished,2023.0
Kembangan,Jakarta Barat,-6.1987086,106.741926,17/03/2024,6200000000.0,250.0,370.0,2.0,5.0,4.0,,,SHM,5500.0,Unfurnished,2023.0
Penjaringan,Jakarta Utara,-6.116455699999999,106.7557702,17/03/2024,14000000000.0,260.0,640.0,3.0,5.0,5.0,,,PPJB,16000.0,Full Furnished,2023.0
Cengkareng,Jakarta Barat,-6.1390604,106.7305335,17/03/2024,2700000000.0,90.0,90.0,2.0,3.0,2.0,,,SHM,3500.0,Unfurnished,2023.0
Duren Sawit,Jakarta Timur,-6.2321915,106.9152021,17/03/2024,1150000000.0,45.0,70.0,1.0,2.0,2.0,1.0,,SHM,,Unfurnished,2024.0
Cengkareng,Jakarta Barat,-6.1390604,106.7305335,17/03/2024,2150000000.0,100.0,170.0,2.0,3.0,3.0,,,SHM,5500.0,Unfurnished,2023.0
Cengkareng,Jakarta Barat,-6.1390604,106.7305335,17/03/2024,900000000.0,48.0,40.0,2.0,2.0,2.0,,,SHM,2200.0,Unfurnished,2023.0
Tanjung Priok,Jakarta Utara,-6.1382799,106.8665166,17/03/2024,10000000000.0,275.0,220.0,1.0,1.0,1.0,,,SHM,2200.0,Unfurnished,2023.0
Pulo Gadung,Jakarta Timur,-6.1936067,106.8912095,17/03/2024,6000000000.0,300.0,692.0,2.0,7.0,4.0,,,SHM,16500.0,Full Furnished,2023.0
Kembangan,Jakarta Barat,-6.1987086,106.741926,17/03/2024,3400000000.0,108.0,170.0,2.0,4.0,2.0,,,SHM,3500.0,Unfurnished,2023.0
Tanjung Priok,Jakarta Utara,-6.1382799,106.8665166,17/03/2024,7500000000.0,292.0,360.0,2.0,6.0,4.0,,,SHM,5500.0,Unfurnished,2023.0
Cengkareng,Jakarta Barat,-6.1390604,106.7305335,17/03/2024,2600000000.0,90.0,180.0,2.0,3.0,3.0,,,SHM,2200.0,Unfurnished,2023.0
Pesanggrahan,Jakarta Selatan,-6.2365273,106.751266,17/03/2024,2300000000.0,168.0,300.0,2.0,4.0,3.0,1.0,,SHM,,Semi Furnished,
Penjaringan,Jakarta Utara,-6.116455699999999,106.7557702,17/03/2024,5500000000.0,150.0,200.0,2.0,3.0,3.0,,,PPJB,4400.0,Unfurnished,2023.0
Cengkareng,Jakarta Barat,-6.1390604,106.7305335,17/03/2024,5900000000.0,490.0,600.0,2.0,4.0,5.0,,,SHM,16500.0,Unfurnished,2023.0
Kali Deres,Jakarta Barat,-6.152444099999999,106.6969285,17/03/2024,1850000000.0,90.0,102.0,2.0,3.0,2.0,,,SHM,4400.0,Unfurnished,2023.0
Cakung,Jakarta Timur,-6.187507500000001,106.9593843,17/03/2024,2700000000.0,150.0,172.0,2.0,4.0,4.0,,,SHM,5500.0,Unfurnished,2023.0
Kembangan,Jakarta Barat,-6.1987086,106.741926,17/03/2024,9000000000.0,415.0,425.0,2.0,4.0,5.0,,,SHM,7700.0,Unfurnished,2023.0
Kembangan,Jakarta Barat,-6.1987086,106.741926,17/03/2024,4500000000.0,225.0,250.0,2.0,3.0,3.0,,,HGB,5500.0,Unfurnished,2023.0
Pulo Gadung,Jakarta Timur,-6.1936067,106.8912095,17/03/2024,1900000000.0,83.0,140.0,2.0,4.0,3.0,,,SHM,3500.0,Unfurnished,2023.0
Kembangan,Jakarta Barat,-6.1987086,106.741926,17/03/2024,3200000000.0,132.0,257.0,2.0,4.0,3.0,,,SHM,5500.0,Unfurnished,2023.0
Kembangan,Jakarta Barat,-6.1987086,106.741926,17/03/2024,10000000000.0,420.0,800.0,2.0,5.0,6.0,,,SHM,6600.0,Full Furnished,2023.0
Kembangan,Jakarta Barat,-6.1987086,106.741926,17/03/2024,3100000000.0,123.0,200.0,2.0,7.0,6.0,,,SHM,4400.0,Unfurnished,2023.0
Kali Deres,Jakarta Barat,-6.152444099999999,106.6969285,17/03/2024,2200000000.0,280.0,275.0,1.0,4.0,3.0,,,SHM,2200.0,Unfurnished,2023.0
Pulo Gadung,Jakarta Timur,-6.1936067,106.8912095,17/03/2024,2200000000.0,60.0,104.0,2.0,3.0,3.0,,,SHM,3500.0,Full Furnished,2023.0
Pulo Gadung,Jakarta Timur,-6.1936067,106.8912095,17/03/2024,3250000000.0,145.0,210.0,1.0,10.0,4.0,,,SHM,1300.0,Unfurnished,2023.0
Kali Deres,Jakarta Barat,-6.152444099999999,106.6969285,17/03/2024,2200000000.0,90.0,85.0,2.0,3.0,2.0,,,SHM,2200.0,Unfurnished,2023.0
Kelapa Gading,Jakarta Utara,-6.161308699999999,106.9049822,16/03/2024,8000000000.0,297.0,234.0,2.0,3.0,2.0,,,SHM,3500.0,Unfurnished,2023.0
Penjaringan,Jakarta Utara,-6.116455699999999,106.7557702,16/03/2024,9400000000.0,285.0,315.0,2.0,4.0,3.0,,,SHM,7700.0,Unfurnished,2023.0
Tebet,Jakarta Selatan,-6.2251223,106.8549881,16/03/2024,2950000000.0,87.0,160.0,2.0,3.0,3.0,2.0,,SHM,,Unfurnished,2023.0
Kelapa Gading,Jakarta Utara,-6.161308699999999,106.9049822,16/03/2024,3000000000.0,107.0,107.0,2.0,2.0,1.0,,,PPJB,2200.0,Unfurnished,2023.0
Kelapa Gading,Jakarta Utara,-6.161308699999999,106.9049822,16/03/2024,3300000000.0,120.0,220.0,2.0,3.0,2.0,,,HGB,2200.0,Unfurnished,2023.0
Kelapa Gading,Jakarta Utara,-6.161308699999999,106.9049822,16/03/2024,6200000000.0,242.0,350.0,2.0,3.0,3.0,,,SHM,5500.0,Unfurnished,2023.0
Tebet,Jakarta Selatan,-6.2251223,106.8549881,16/03/2024,13500000000.0,402.0,350.0,2.0,8.0,5.0,3.0,2.0,SHM,,Unfurnished,
Kelapa Gading,Jakarta Utara,-6.161308699999999,106.9049822,16/03/2024,1850000000.0,160.0,60.0,1.0,3.0,1.0,,,HGB,2200.0,Unfurnished,2017.0
Kelapa Gading,Jakarta Utara,-6.161308699999999,106.9049822,16/03/2024,9900000000.0,374.0,800.0,1.0,10.0,10.0,,,SHM,7700.0,Unfurnished,2017.0
Pulo Gadung,Jakarta Timur,-6.1936067,106.8912095,16/03/2024,4500000000.0,160.0,1.0,2.0,3.0,2.0,,,SHM,4400.0,Semi Furnished,2017.0
Kelapa Gading,Jakarta Utara,-6.161308699999999,106.9049822,16/03/2024,6900000000.0,180.0,300.0,2.0,4.0,3.0,,,SHM,7700.0,Unfurnished,2017.0
Kelapa Gading,Jakarta Utara,-6.161308699999999,106.9049822,16/03/2024,10000000000.0,443.0,1.0,3.0,6.0,4.0,,,SHM,6600.0,Unfurnished,2017.0
Kelapa Gading,Jakarta Utara,-6.161308699999999,106.9049822,16/03/2024,7000000000.0,210.0,290.0,3.0,3.0,3.0,,,SHM,11000.0,Unfurnished,2017.0
Kelapa Gading,Jakarta Utara,-6.161308699999999,106.9049822,16/03/2024,1600000000.0,88.0,1.0,2.0,2.0,2.0,,,HGB,2200.0,Unfurnished,2017.0
Kelapa Gading,Jakarta Utara,-6.161308699999999,106.9049822,16/03/2024,2100000000.0,102.0,108.0,1.0,3.0,2.0,,,SHM,4400.0,Unfurnished,2022.0
Pulo Gadung,Jakarta Timur,-6.1936067,106.8912095,16/03/2024,10500000000.0,386.0,550.0,3.0,4.0,4.0,,,SHM,2200.0,Unfurnished,2016.0
