district,city,latitude,longitude,updated_time,price,land_area_sqm,building_area_sqm,jumlah lantai,kamar tidur,kamar mandi,carpots,garasi,sertifikat,daya listrik,interior,tahun dibangun
Cipayung,Jakarta Timur,-6.3153539,106.8928693,04/04/2024,1164000000.0,95.0,75.0,2.0,3.0,2.0,1.0,,SHM,2200.0,Unfurnished,
Kebayoran Baru,Jakarta Selatan,-6.2452337,106.7999471,02/06/2024,6000000000.0,202.0,143.0,2.0,3.0,3.0,1.0,1.0,SHM,2200.0,Semi Furnished,1970.0
Jagakarsa,Jakarta Selatan,-6.3360601,106.8256645,02/06/2024,975000000.0,60.0,80.0,2.0,3.0,2.0,1.0,,SHM,2200.0,Unfurnished,2024.0
Cipayung,Jakarta Timur,-6.3153539,106.8928693,02/06/2024,1055000000.0,65.0,76.0,2.0,,,,,SHM,2200.0,,
Cipayung,Jakarta Timur,-6.3153539,106.8928693,02/06/2024,648000000.0,60.0,42.0,1.0,2.0,1.0,1.0,,SHM,1300.0,Unfurnished,2023.0
Kebon Jeruk,Jakarta Barat,-6.184046800000001,106.7680752,02/06/2024,6500000000.0,714.0,180.0,1.0,5.0,2.0,,,SHM,2200.0,Unfurnished,
Jagakarsa,Jakarta Selatan,-6.3360601,106.8256645,02/06/2024,1800000000.0,200.0,150.0,1.0,4.0,2.0,2.0,,SHM,2200.0,Unfurnished,
Pasar Rebo,Jakarta Timur,-6.326564899999999,106.8559596,02/06/2024,769000000.0,47.0,60.0,2.0,2.0,2.0,2.0,,SHM,2200.0,Unfurnished,
Cilandak,Jakarta Selatan,-6.277122299999999,106.7975781,02/06/2024,9900000000.0,293.0,400.0,2.0,4.0,4.0,2.0,2.0,SHM,7700.0,Unfurnished,2022.0
Pademangan,Jakarta Utara,-6.1339405,106.8383529,02/06/2024,3500000000.0,102.0,306.0,3.0,4.0,6.0,1.0,2.0,SHM,3500.0,Semi Furnished,
Pulo Gadung,Jakarta Timur,-6.1936067,106.8912095,02/06/2024,2000000000.0,124.0,170.0,2.0,4.0,2.0,1.0,,SHM,1300.0,Unfurnished,
Cipayung,Jakarta Timur,-6.3153539,106.8928693,02/06/2024,2200000000.0,355.0,162.0,,4.0,2.0,1.0,,SHM,1300.0,,1991.0
Pasar Minggu,Jakarta Selatan,-6.289610499999999,106.8399623,01/06/2024,1300000000.0,66.0,80.0,,3.0,2.0,1.0,,SHM,,Unfurnished,2024.0
Cilincing,Jakarta Utara,-6.1101657,106.9448985,26/05/2024,230000000.0,43.0,80.0,1.0,3.0,1.0,,,AJB,1300.0,Unfurnished,2017.0
Kebayoran Baru,Jakarta Selatan,-6.2452337,106.7999471,26/05/2024,25000000000.0,718.0,417.0,2.0,5.0,7.0,6.0,1.0,SHM,5500.0,Unfurnished,
Pengadegan,Pancoran,-6.2482256,106.8547133,26/05/2024,1600000000.0,77.0,75.0,1.0,3.0,2.0,,,SHM,2200.0,Unfurnished,1995.0
Matraman,Jakarta Timur,-6.2018754,106.8688565,26/05/2024,2200000000.0,71.0,180.0,3.0,6.0,5.0,,1.0,SHM,,Unfurnished,2024.0
Jagakarsa,Jakarta Selatan,-6.3360601,106.8256645,26/05/2024,260000000.0,20.0,40.0,2.0,2.0,2.0,,,SHM,,Unfurnished,2024.0
Duren Sawit,Jakarta Timur,-6.2321915,106.9152021,26/05/2024,1900000000.0,91.0,100.0,2.0,,,,1.0,SHM,,Unfurnished,
Palmerah,Jakarta Barat,-6.1942907,106.793333,26/05/2024,1725000000.0,140.0,176.0,2.0,2.0,1.0,,,SHM,2200.0,Unfurnished,2015.0
Duren Sawit,Jakarta Timur,-6.2321915,106.9152021,26/05/2024,1400000000.0,55.0,100.0,2.0,3.0,2.0,,1.0,SHM,,Unfurnished,2024.0
Jagakarsa,Jakarta Selatan,-6.3360601,106.8256645,26/05/2024,3900000000.0,279.0,211.0,2.0,3.0,3.0,4.0,,SHM,3500.0,Semi Furnished,
